City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Champerico,GT,84.74,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
7,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
19,Kununurra,AU,91.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
22,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
32,Rikitea,PF,76.5,clear sky,-23.1203,-134.9692,People ThankYou
35,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
45,Hobart,AU,79.27,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
50,Buala,SB,84.96,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
51,New Norfolk,AU,78.93,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
53,Hilo,US,81.63,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
57,Soe,ID,75.72,overcast clouds,-9.8607,124.284,Dena Hotel
62,Itacare,BR,78.51,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
63,Cayenne,GF,77.04,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
64,Sur,OM,74.61,few clouds,22.5667,59.5289,Sur Plaza Hotel
65,Atuona,PF,78.91,clear sky,-9.8,-139.0333,Villa Enata
66,Bengkulu,ID,75.2,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
70,Cabo San Lucas,MX,80.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
72,Touros,BR,79.59,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
73,Labuhan,ID,79.83,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
77,Sokoni,TZ,81.16,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
81,Pointe-Noire,CG,76.77,overcast clouds,-4.7761,11.8635,Kactus Lodge
84,Kiunga,PG,78.37,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
88,Dedougou,BF,75.9,clear sky,12.4667,-3.4667,Hôtel Bon Séjour
96,Pacific Grove,US,77.43,clear sky,36.6177,-121.9166,Lovers Point Inn
98,Ewa Beach,US,85.95,few clouds,21.3156,-158.0072,Uncle Junior Robert
100,Mount Isa,AU,92.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
101,Aswan,EG,76.96,scattered clouds,24.0934,32.907,Nuba Nile
102,Cockburn Town,TC,79.39,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
103,Nata,PA,75.47,overcast clouds,8.3333,-80.5167,Rey David
107,Port-Gentil,GA,79.72,moderate rain,-0.7193,8.7815,Fengshui Residence
109,Hithadhoo,MV,81.55,scattered clouds,-0.6,73.0833,Scoop Guest House
119,Byron Bay,AU,78.06,moderate rain,-28.65,153.6167,Backpackers Inn
120,Dingle,PH,78.49,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
123,Sibolga,ID,75.16,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
125,Sao Filipe,CV,74.19,overcast clouds,14.8961,-24.4956,Hotel Xaguate
128,Arraial Do Cabo,BR,74.52,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
