City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,0.37,74,56,6.93,broken clouds
1,Ushuaia,AR,-54.8,-68.3,58.66,36,75,21.85,broken clouds
2,Hasaki,JP,35.7333,140.8333,66.6,86,100,49.68,overcast clouds
3,Kapaa,US,22.0752,-159.319,82.38,74,40,3.0,light rain
4,Tuktoyaktuk,CA,69.4541,-133.0374,-26.95,100,72,3.53,broken clouds
5,Yumen,CN,40.2833,97.2,19.33,61,85,15.08,overcast clouds
6,Champerico,GT,14.3,-91.9167,84.74,73,0,5.53,clear sky
7,Georgetown,MY,5.4112,100.3354,80.53,89,20,0.0,few clouds
8,Bay City,US,43.5945,-83.8889,36.1,84,90,10.36,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,60.91,79,80,9.75,broken clouds
10,Miramar,US,25.9873,-80.2323,72.01,71,1,0.0,clear sky
11,Saskylakh,RU,71.9167,114.0833,-37.82,99,72,5.37,broken clouds
12,Victoria,HK,22.2855,114.1577,62.26,43,19,1.01,few clouds
13,Gilgit,PK,35.9221,74.3087,42.1,43,74,1.36,broken clouds
14,Tignere,CM,7.3667,12.65,69.19,26,59,2.51,broken clouds
15,George,ZA,-33.963,22.4617,58.37,81,48,3.09,scattered clouds
16,Mar Del Plata,AR,-38.0023,-57.5575,59.88,72,14,14.0,few clouds
17,Puerto Ayora,EC,-0.7393,-90.3518,69.33,88,75,8.14,broken clouds
18,Ilulissat,GL,69.2167,-51.1,24.03,90,94,9.08,overcast clouds
19,Kununurra,AU,-15.7667,128.7333,91.38,43,37,5.75,scattered clouds
20,Vestmanna,FO,62.1564,-7.1664,31.12,74,75,9.22,broken clouds
21,Arkhangelsk,RU,64.5401,40.5433,17.71,78,90,13.42,overcast clouds
22,Vaini,TO,-21.2,-175.2,82.56,83,40,13.8,scattered clouds
23,Punta Arenas,CL,-53.15,-70.9167,55.51,54,75,16.11,broken clouds
24,Jamestown,US,42.097,-79.2353,38.52,87,90,11.01,overcast clouds
25,Bethel,US,41.3712,-73.414,36.75,83,90,0.0,overcast clouds
26,Saldanha,ZA,-33.0117,17.9442,60.58,85,37,8.86,scattered clouds
27,Mataura,NZ,-46.1927,168.8643,62.47,62,96,6.17,overcast clouds
28,Cape Town,ZA,-33.9258,18.4232,62.28,77,86,5.84,overcast clouds
29,Pierre,US,44.3683,-100.351,51.28,73,1,0.0,clear sky
